fp,county,state,never,rarely,sometimes,frequently,always
33017,Bergen,NJ,0.08,0.074,0.098,0.19,0.558
45009,Berkeley,SC,0.167,0.031,0.053,0.235,0.515
54003,Berkeley,WV,0.065,0.049,0.196,0.166,0.524
42005,Berks,PA,0.027,0.074,0.159,0.173,0.568
24045,Berkshire,MA,0.006,0.011,0.063,0.116,0.804
34037,Bernalillo,NM,0.02,0.026,0.029,0.205,0.72
13013,Berrien,GA,0.063,0.086,0.092,0.19,0.568
26013,Berrien,MI,0.012,0.063,0.109,0.257,0.558
37009,Bertie,NC,0.149,0.026,0.083,0.287,0.455
2050,Bethel,AK,0.101,0.022,0.014,0.45,0.413
48023,Bexar,TX,0.066,0.075,0.134,0.104,0.62
1007,Bibb,AL,0.02,0.034,0.096,0.278,0.572
13015,Bibb,GA,0.215,0.05,0.123,0.143,0.47
22005,Bienville,LA,0.049,0.092,0.142,0.148,0.569
29227,Big Horn,MT,0.098,0.17,0.218,0.272,0.241
56003,Big Horn,WY,0.182,0.187,0.12,0.257,0.253
27003,Big Stone,MN,0.054,0.078,0.132,0.245,0.492
38001,Billings,ND,0.219,0.166,0.189,0.233,0.193
16003,Bingham,ID,0.094,0.216,0.218,0.218,0.254
19005,Black Hawk,IA,0.138,0.049,0.132,0.212,0.469
18001,Blackford,IN,0.136,0.047,0.16,0.348,0.309
37011,Bladen,NC,0.096,0.01,0.212,0.173,0.509
16005,Blaine,ID,0.084,0.193,0.176,0.195,0.352
29229,Blaine,MT,0.419,0.139,0.187,0.1,0.155
31003,Blaine,NE,0.198,0.096,0.191,0.161,0.354
40005,Blaine,OK,0.076,0.184,0.111,0.284,0.345
42007,Blair,PA,0.015,0.023,0.1,0.137,0.725
48025,Blanco,TX,0.001,0.003,0.052,0.19,0.753
51015,Bland,VA,0.029,0.037,0.061,0.173,0.701
13017,Bleckley,GA,0.129,0.078,0.109,0.202,0.483
47001,Bledsoe,TN,0.088,0.105,0.112,0.215,0.48
1009,Blount,AL,0.053,0.114,0.18,0.194,0.459
47003,Blount,TN,0.164,0.093,0.246,0.248,0.249
27005,Blue Earth,MN,0.052,0.28,0.175,0.24,0.252
16007,Boise,ID,0.151,0.12,0.102,0.243,0.385
28003,Bolivar,MS,0.069,0.131,0.15,0.222,0.428
29009,Bollinger,MO,0.106,0.06,0.256,0.235,0.343
46003,Bon Homme,SD,0.239,0.073,0.236,0.15,0.302
16085,Bond,IL,0.041,0.118,0.102,0.378,0.361
16009,Bonner,ID,0.038,0.059,0.15,0.152,0.601
16011,Bonneville,ID,0.095,0.197,0.175,0.229,0.304
5005,Boone,AR,0.15,0.104,0.108,0.104,0.534
19007,Boone,IA,0.044,0.11,0.239,0.193,0.413
16087,Boone,IL,0.136,0.13,0.324,0.172,0.239
18003,Boone,IN,0.07,0.14,0.099,0.228,0.464
21007,Boone,KY,0.107,0.033,0.198,0.257,0.404
29011,Boone,MO,0.15,0.131,0.134,0.111,0.474
31005,Boone,NE,0.144,0.135,0.117,0.248,0.356
54005,Boone,WV,0.097,0.138,0.093,0.197,0.475
48027,Borden,TX,0.01,0.035,0.078,0.205,0.672
48029,Bosque,TX,0.015,0.016,0.057,0.09,0.822
22007,Bossier,LA,0.079,0.034,0.213,0.206,0.468
51017,Botetourt,VA,0.099,0.045,0.121,0.165,0.57
38003,Bottineau,ND,0.111,0.079,0.137,0.248,0.425
8009,Boulder,CO,0.113,0.053,0.194,0.206,0.435
16013,Boundary,ID,0.155,0.107,0.102,0.13,0.506
20003,Bourbon,KS,0.189,0.063,0.137,0.267,0.344
21009,Bourbon,KY,0.053,0.093,0.09,0.176,0.588
48031,Bowie,TX,0.005,0.019,0.115,0.074,0.788
38005,Bowman,ND,0.289,0.194,0.118,0.195,0.204
31007,Box Butte,NE,0.249,0.128,0.134,0.216,0.272
48505,Box Elder,UT,0.047,0.001,0.035,0.138,0.779
21011,Boyd,KY,0.076,0.058,0.084,0.339,0.443
31009,Boyd,NE,0.176,0.103,0.123,0.305,0.293
21013,Boyle,KY,0.146,0.094,0.12,0.199,0.44
21015,Bracken,KY,0.08,0.087,0.081,0.232,0.52
12001,Bradford,FL,0.001,0.024,0.053,0.17,0.751
42009,Bradford,PA,0.014,0.111,0.1,0.205,0.57
5007,Bradley,AR,0.081,0.034,0.083,0.16,0.643
47005,Bradley,TN,0.169,0.109,0.206,0.21,0.306
26015,Branch,MI,0.043,0.121,0.121,0.211,0.504
13019,Brantley,GA,0.073,0.098,0.156,0.214,0.46
54007,Braxton,WV,0.102,0.131,0.167,0.202,0.398
48033,Brazoria,TX,0.039,0.115,0.125,0.107,0.614
48035,Brazos,TX,0.031,0.154,0.102,0.248,0.465
21017,Breathitt,KY,0.024,0.037,0.042,0.129,0.769
21019,Breckinridge,KY,0.084,0.125,0.202,0.235,0.354
19009,Bremer,IA,0.224,0.073,0.194,0.187,0.322
12003,Brevard,FL,0.087,0.076,0.18,0.215,0.442
48037,Brewster,TX,0.058,0.134,0.114,0.221,0.473
48039,Briscoe,TX,0.021,0.042,0.075,0.17,0.691
24047,Bristol,MA,0.003,0.004,0.042,0.11,0.842
42129,Bristol,RI,0.017,0.07,0.069,0.172,0.673
2060,Bristol Bay,AK,0.048,0.037,0.042,0.308,0.564
51199,Bristol City,VA,0.006,0.021,0.024,0.162,0.786
29510,Broadwater,MT,0.039,0.017,0.08,0.137,0.726
54009,Brooke,WV,0.067,0.11,0.195,0.192,0.436
46005,Brookings,SD,0.234,0.104,0.147,0.173,0.342
13021,Brooks,GA,0.043,0.094,0.176,0.201,0.487
48041,Brooks,TX,0.012,0.038,0.067,0.347,0.537
